bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
Hello!,Hi there!,Hi!,Hello!,"Hi, friend!","Hello, Benny!",1,14,21
How are you?,I am fine.,I am good.,I am okay.,I am happy.,I am great!,2,15,21
What is your name?,My name is Noor.,I am Noor.,I'm Noor.,My name is Ben.,I am Ben.,3,11,22
Nice to meet you!,Thank you!,Hi!,You too!,Nice to meet you too!,Nice to meet you!,1,12,23
Say goodbye!,Bye-bye!,Bye!,Goodbye!,Good night!,See you!,1,14,21
What color is this?,This is orange.,It is orange.,It is green.,I see orange.,Orange.,3,10,14
What animal do you see?,"Look, a shark!",A shark.,A fish.,I see a shark.,It is a shark.,5,25,14
Do you like noodle?,I love noodle!,"Yes, I like noodle.","No, I don't like noodle.",Yummy!,Yes!,1,17,11
What do you want to play with?,"A teddy, please.",I like the doll.,"The doll, please.",I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,One.,Four.,One toys.,There are one.,I see one.,2,27,15
Who is this?,It is my mom.,This is Lila.,My sister.,This is my mom.,My mom.,1,13,22
Where are you?,In the farm.,I am at school.,At the home.,I am at the home.,I am home.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you very much!,Thanks a lot!,Thank you!,Thanks!,2,15,17
"Can I have some juice, please?",Yes.,Okay.,Please.,Here you are.,"Yes, please.",7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hi!,Hello!,1,12,23
How are you?,I am good.,I am great!,I am fine.,I am happy.,I am okay.,1,14,21
What is your name?,I am Ken.,I am Noor.,My name is Ken.,My name is Noor.,I'm Ken.,2,15,21
Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,Nice to meet you!,You too!,3,11,22
Say goodbye!,See you!,Goodbye!,Bye-bye!,Good night!,Bye!,1,12,23
What color is this?,I see black.,This is black.,Black.,It is black.,It is green.,3,10,14
What animal do you see?,It is a shark.,I see a shark.,A shark.,"Look, a shark!",A fish.,5,25,14
Do you like noodle?,I love noodle!,"No, I don't like noodle.",Yes!,Yummy!,"Yes, I like noodle.",1,17,11
What do you want to play with?,"The doll, please.",I want the doll.,Let's play with the doll.,I like the doll.,"A teddy, please.",3,10,14
How many do you see?,One toys.,I see one.,There are one.,One.,Four.,2,27,15
Who is this?,This is my mom.,It is my mom.,My mom.,My sister.,This is Nico.,1,13,22
Where are you?,I am home.,I am at school.,At the home.,In the farm.,I am at the home.,2,15,21
What can you do?,I can play.,I can jump.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you very much!,Thank you!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,Please.,Here you are.,"Yes, please.",Yes.,7,11,22
Hello!,Hi!,Hi there!,"Hello, Benny!","Hi, friend!",Hello!,3,11,22
How are you?,I am great!,I am good.,I am fine.,I am happy.,I am okay.,1,12,23
What is your name?,I'm Lara.,I am Eli.,I am Lara.,My name is Lara.,My name is Eli.,1,14,21
Nice to meet you!,Thank you!,Nice to meet you too!,Hi!,You too!,Nice to meet you!,2,15,21
Say goodbye!,Bye-bye!,Bye!,See you!,Goodbye!,Good night!,3,11,22
What color is this?,It is red.,This is red.,It is green.,Red.,I see red.,3,10,14
What animal do you see?,It is a parrot.,I see a parrot.,A parrot.,"Look, a parrot!",A fish.,5,25,14
Do you like noodle?,Yummy!,Yes!,I love noodle!,"No, I don't like noodle.","Yes, I like noodle.",1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.","The doll, please.",I like the doll.,I want the doll.,3,10,14
How many do you see?,One.,Four.,There are one.,One toys.,I see one.,2,27,15
Who is this?,This is my mom.,My mom.,My sister.,This is Ana.,It is my mom.,1,13,22
Where are you?,At the home.,I am at school.,I am home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can eat.,I can play.,I can run.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks!,Thanks a lot!,Thank you!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Okay.,"Yes, please.",Yes.,Please.,7,11,22
Hello!,Hello!,"Hi, friend!",Hi!,"Hello, Benny!",Hi there!,2,15,21
How are you?,I am good.,I am fine.,I am happy.,I am great!,I am okay.,3,11,22
What is your name?,I'm Sam.,I am Sam.,My name is Sam.,I am Ana.,My name is Ana.,1,12,23
Nice to meet you!,Thank you!,Nice to meet you too!,You too!,Nice to meet you!,Hi!,1,14,21
Say goodbye!,Good night!,Bye-bye!,Goodbye!,Bye!,See you!,2,15,21
What color is this?,This is green.,I see green.,It is green.,Green.,Okay.,3,10,14
What animal do you see?,It is a parrot.,A fish.,I see a parrot.,"Look, a parrot!",A parrot.,5,25,14
Do you like noodle?,Yes!,Yummy!,"No, I don't like noodle.",I love noodle!,"Yes, I like noodle.",1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,I want the doll.,"The doll, please.","A teddy, please.",3,10,14
How many do you see?,One.,I see one.,Four.,There are one.,One toys.,2,27,15
Who is this?,My mom.,It is my mom.,This is my mom.,My sister.,This is Luca.,1,13,22
Where are you?,In the farm.,I am at school.,At the home.,I am at the home.,I am home.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you!,"Thank you, friend!",Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?","Yes, please.",Please.,Yes.,Okay.,Here you are.,7,11,22
Hello!,"Hello, Benny!","Hi, friend!",Hi!,Hello!,Hi there!,1,14,21
How are you?,I am great!,I am fine.,I am good.,I am okay.,I am happy.,2,15,21
What is your name?,I'm Noor.,My name is Noor.,I am Noor.,My name is Maya.,I am Maya.,3,11,22
Nice to meet you!,Thank you!,Nice to meet you!,Nice to meet you too!,Hi!,You too!,1,12,23
Say goodbye!,Goodbye!,Bye!,See you!,Bye-bye!,Good night!,1,14,21
What color is this?,It is brown.,It is green.,Brown.,I see brown.,This is brown.,3,10,14
What animal do you see?,A fish.,A parrot.,It is a parrot.,I see a parrot.,"Look, a parrot!",5,25,14
Do you like noodle?,Yummy!,"Yes, I like noodle.",Yes!,I love noodle!,"No, I don't like noodle.",1,17,11
What do you want to play with?,"The doll, please.",I like the doll.,I want the doll.,"A teddy, please.",Let's play with the doll.,3,10,14
How many do you see?,Four.,I see one.,There are one.,One.,One toys.,2,27,15
Who is this?,This is Lila.,It is my mom.,This is my mom.,My sister.,My mom.,1,13,22
Where are you?,I am home.,I am at the home.,In the farm.,I am at school.,At the home.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,Thank you very much!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Please.,Here you are.,Okay.,Yes.,"Yes, please.",7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hi!,Hello!,1,12,23
How are you?,I am fine.,I am happy.,I am okay.,I am great!,I am good.,1,14,21
What is your name?,I'm Ken.,I am Ken.,My name is Nico.,My name is Ken.,I am Nico.,2,15,21
Nice to meet you!,Nice to meet you too!,You too!,Hi!,Nice to meet you!,Thank you!,3,11,22
Say goodbye!,Goodbye!,Good night!,Bye-bye!,See you!,Bye!,1,12,23
What color is this?,This is gold.,Gold.,I see gold.,It is green.,It is gold.,3,10,14
What animal do you see?,A parrot.,It is a parrot.,I see a parrot.,A fish.,"Look, a parrot!",5,25,14
Do you like noodle?,Yes!,I love noodle!,"Yes, I like noodle.","No, I don't like noodle.",Yummy!,1,17,11
What do you want to play with?,I like the doll.,"The doll, please.",I want the doll.,Let's play with the doll.,"A teddy, please.",3,10,14
How many do you see?,One toys.,I see one.,One.,Four.,There are one.,2,27,15
Who is this?,My mom.,This is Nico.,This is my mom.,It is my mom.,My sister.,1,13,22
Where are you?,I am at the home.,I am home.,At the home.,In the farm.,I am at school.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you!,Thank you very much!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Here you are.,"Yes, please.",Please.,Yes.,7,11,22
Hello!,"Hello, Benny!",Hi!,"Hi, friend!",Hello!,Hi there!,3,11,22
How are you?,I am fine.,I am great!,I am happy.,I am okay.,I am good.,1,12,23
What is your name?,My name is Leo.,I am Leo.,I'm Lara.,I am Lara.,My name is Lara.,1,14,21
Nice to meet you!,Nice to meet you too!,Hi!,Nice to meet you!,Thank you!,You too!,2,15,21
Say goodbye!,Bye-bye!,See you!,Bye!,Goodbye!,Good night!,3,11,22
What color is this?,This is yellow.,It is yellow.,I see yellow.,It is green.,Yellow.,3,10,14
What animal do you see?,A fish.,"Look, a cat!",A cat.,It is a cat.,I see a cat.,5,25,14
Do you like sandwich?,Yes!,Yummy!,"Yes, I like sandwich.","No, I don't like sandwich.",I love sandwich!,1,17,11
What do you want to play with?,"The doll, please.",I want the doll.,I like the doll.,"A teddy, please.",Let's play with the doll.,3,10,14
How many do you see?,One.,One toys.,Four.,There are one.,I see one.,2,27,15
Who is this?,My sister.,This is my mom.,My mom.,It is my mom.,This is Ana.,1,13,22
Where are you?,I am at school.,I am at the home.,I am home.,At the home.,In the farm.,2,15,21
What can you do?,I can run.,I can jump.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thank you!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,Yes.,Here you are.,Okay.,"Yes, please.",7,11,22
Hello!,Hello!,"Hi, friend!",Hi!,"Hello, Benny!",Hi there!,2,15,21
How are you?,I am good.,I am fine.,I am great!,I am okay.,I am happy.,3,11,22
What is your name?,My name is Sam.,I am Sam.,I am Theo.,I'm Sam.,My name is Theo.,1,12,23
Nice to meet you!,You too!,Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,1,14,21
Say goodbye!,Bye!,Bye-bye!,See you!,Goodbye!,Good night!,2,15,21
What color is this?,Pink.,I see pink.,It is pink.,This is pink.,It is green.,3,10,14
What animal do you see?,It is a cat.,A cat.,A fish.,"Look, a cat!",I see a cat.,5,25,14
Do you like sandwich?,"No, I don't like sandwich.",Yes!,I love sandwich!,Yummy!,"Yes, I like sandwich.",1,17,11
What do you want to play with?,I like the doll.,Let's play with the doll.,I want the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,Four.,I see one.,One.,There are one.,One toys.,2,27,15
Who is this?,My mom.,My sister.,This is Luca.,It is my mom.,This is my mom.,1,13,22
Where are you?,I am at school.,In the farm.,I am at the home.,I am home.,At the home.,2,15,21
What can you do?,I can run.,I can play.,I can eat.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you!,"Thank you, friend!",Thank you very much!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Yes.,Please.,Here you are.,Okay.,"Yes, please.",7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hello!,Hi!,Hi there!,1,14,21
How are you?,I am happy.,I am good.,I am great!,I am okay.,I am fine.,2,15,21
What is your name?,I am Noor.,I'm Noor.,My name is Noor.,I am Omar.,My name is Omar.,3,11,22
Nice to meet you!,Hi!,Nice to meet you!,Nice to meet you too!,Thank you!,You too!,1,12,23
Say goodbye!,Bye-bye!,Good night!,Goodbye!,Bye!,See you!,1,14,21
What color is this?,It is gray.,It is green.,I see gray.,This is gray.,Gray.,3,10,14
What animal do you see?,"Look, a cat!",A cat.,A fish.,It is a cat.,I see a cat.,5,25,14
Do you like sandwich?,Yes!,Yummy!,"No, I don't like sandwich.",I love sandwich!,"Yes, I like sandwich.",1,17,11
What do you want to play with?,"A teddy, please.",I like the doll.,"The doll, please.",I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,One.,Four.,I see one.,There are one.,One toys.,2,27,15
Who is this?,My mom.,This is Lila.,It is my mom.,My sister.,This is my mom.,1,13,22
Where are you?,In the farm.,I am at the home.,I am at school.,I am home.,At the home.,2,15,21
What can you do?,I can eat.,I can jump.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thank you!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,Yes.,"Yes, please.",Here you are.,Please.,7,11,22
Hello!,"Hello, Benny!",Hi there!,"Hi, friend!",Hello!,Hi!,1,12,23
How are you?,I am great!,I am good.,I am okay.,I am fine.,I am happy.,1,14,21
What is your name?,I am Ken.,I am Zoe.,My name is Zoe.,I'm Ken.,My name is Ken.,2,15,21
Nice to meet you!,Nice to meet you too!,You too!,Nice to meet you!,Hi!,Thank you!,3,11,22
Say goodbye!,See you!,Bye-bye!,Good night!,Goodbye!,Bye!,1,12,23
What color is this?,It is blue.,This is blue.,Blue.,It is green.,I see blue.,3,10,14
What animal do you see?,A dog.,"Look, a dog!",I see a dog.,A fish.,It is a dog.,5,25,14
Do you like sandwich?,I love sandwich!,"Yes, I like sandwich.",Yes!,"No, I don't like sandwich.",Yummy!,1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.",I like the doll.,"The doll, please.",I want the doll.,3,10,14
How many do you see?,One.,There are one.,Four.,I see one.,One toys.,2,27,15
Who is this?,My sister.,It is my mom.,This is my mom.,This is Nico.,My mom.,1,13,22
Where are you?,I am home.,I am at the home.,I am at school.,At the home.,In the farm.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thank you very much!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,Okay.,Here you are.,"Yes, please.",Yes.,7,11,22
Hello!,Hello!,"Hi, friend!","Hello, Benny!",Hi!,Hi there!,3,11,22
How are you?,I am good.,I am great!,I am okay.,I am fine.,I am happy.,1,12,23
What is your name?,I am Ken.,My name is Lara.,I am Lara.,I'm Lara.,My name is Ken.,1,14,21
Nice to meet you!,Nice to meet you too!,Nice to meet you!,Hi!,Thank you!,You too!,2,15,21
Say goodbye!,Good night!,Goodbye!,Bye!,Bye-bye!,See you!,3,11,22
What color is this?,It is green.,This is purple.,It is purple.,Purple.,I see purple.,3,10,14
What animal do you see?,It is a dog.,"Look, a dog!",I see a dog.,A fish.,A dog.,5,25,14
Do you like sandwich?,Yes!,"Yes, I like sandwich.","No, I don't like sandwich.",I love sandwich!,Yummy!,1,17,11
What do you want to play with?,Let's play with the doll.,"The doll, please.",I like the doll.,I want the doll.,"A teddy, please.",3,10,14
How many do you see?,There are one.,One.,I see one.,Four.,One toys.,2,27,15
Who is this?,My sister.,This is Ana.,This is my mom.,My mom.,It is my mom.,1,13,22
Where are you?,At the home.,I am at school.,I am at the home.,I am home.,In the farm.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks a lot!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?",Please.,Okay.,Here you are.,"Yes, please.",Yes.,7,11,22
Hello!,"Hello, Benny!","Hi, friend!",Hi!,Hello!,Hi there!,2,15,21
How are you?,I am happy.,I am fine.,I am okay.,I am great!,I am good.,3,11,22
What is your name?,I am Sam.,My name is Yuki.,I'm Sam.,My name is Sam.,I am Yuki.,1,12,23
Nice to meet you!,Thank you!,Nice to meet you!,You too!,Hi!,Nice to meet you too!,1,14,21
Say goodbye!,Goodbye!,Bye!,See you!,Good night!,Bye-bye!,2,15,21
What color is this?,This is black.,It is black.,It is green.,I see black.,Black.,3,10,14
What animal do you see?,A fish.,A dog.,It is a dog.,"Look, a dog!",I see a dog.,5,25,14
Do you like sandwich?,Yummy!,"No, I don't like sandwich.","Yes, I like sandwich.",Yes!,I love sandwich!,1,17,11
What do you want to play with?,I like the doll.,I want the doll.,Let's play with the doll.,"A teddy, please.","The doll, please.",3,10,14
How many do you see?,I see one.,Four.,There are one.,One toys.,One.,2,27,15
Who is this?,This is my mom.,My sister.,My mom.,It is my mom.,This is Luca.,1,13,22
Where are you?,I am at the home.,At the home.,I am home.,In the farm.,I am at school.,2,15,21
What can you do?,I can eat.,I can run.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thanks a lot!,Thank you!,Thank you very much!,Thanks!,2,15,17
"Can I have some juice, please?",Yes.,Please.,Here you are.,"Yes, please.",Okay.,7,11,22
Hello!,Hi!,Hi there!,"Hi, friend!","Hello, Benny!",Hello!,1,14,21
How are you?,I am happy.,I am great!,I am good.,I am okay.,I am fine.,2,15,21
What is your name?,My name is Noor.,I am Noor.,I'm Noor.,Okay.,Okay.,3,11,22
Nice to meet you!,Nice to meet you!,Hi!,You too!,Thank you!,Nice to meet you too!,1,12,23
Say goodbye!,Goodbye!,Bye!,Good night!,Bye-bye!,See you!,1,14,21
What color is this?,I see red.,It is red.,Red.,It is green.,This is red.,3,10,14
What animal do you see?,"Look, a bird!",It is a bird.,I see a bird.,A fish.,A bird.,5,25,14
Do you like sandwich?,Yes!,"Yes, I like sandwich.",I love sandwich!,Yummy!,"No, I don't like sandwich.",1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.","The doll, please.",I want the doll.,I like the doll.,3,10,14
How many do you see?,There are one.,I see one.,One toys.,Four.,One.,2,27,15
Who is this?,My mom.,It is my mom.,This is Lila.,My sister.,This is my mom.,1,13,22
Where are you?,I am at school.,I am home.,In the farm.,I am at the home.,At the home.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you very much!,Thank you!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,"Yes, please.",Please.,Here you are.,Yes.,7,11,22
Hello!,"Hi, friend!",Hi there!,Hi!,"Hello, Benny!",Hello!,1,12,23
How are you?,I am great!,I am good.,I am fine.,I am okay.,I am happy.,1,14,21
What is your name?,I'm Ken.,I am Ken.,I am Eli.,My name is Ken.,My name is Eli.,2,15,21
